AUDITUSER,AUDITTIMESTAMP,SAMPLEDEFID,TESTID,VARID,LABID,MAXHOLDTIME,RECORDER
NULL,"2025-09-08 12:36:09.550",25,20,2255,0,0.0,2
NULL,"2025-09-08 12:36:09.560",25,1,2233,0,0.0,3
NULL,"2025-09-08 12:36:09.567",25,18,2253,0,0.0,4
NULL,"2025-09-08 12:36:09.573",25,12,2253,0,0.0,5
NULL,"2025-09-08 12:36:09.583",25,8,2256,0,0.0,6
NULL,"2025-09-08 12:36:09.590",25,3,2244,0,0.0,7
NULL,"2025-09-08 12:36:09.597",25,14,2264,0,0.0,8
NULL,"2025-09-08 12:36:09.607",25,15,2247,0,0.0,9
NULL,"2025-09-08 12:36:09.610",25,16,2249,0,0.0,10
NULL,"2025-09-08 12:36:09.617",25,17,2250,0,0.0,11
NULL,"2025-09-08 12:36:09.623",25,7,2257,0,0.0,12
NULL,"2025-09-08 12:36:09.630",25,4,2231,0,0.0,13
NULL,"2025-09-08 12:36:09.637",25,21,2258,0,0.0,14
NULL,"2025-09-08 12:36:09.643",25,9,2259,0,0.0,15
NULL,"2025-09-08 12:36:09.650",25,22,2260,0,0.0,16
NULL,"2025-09-08 12:36:09.660",25,10,2261,0,0.0,17
NULL,"2025-09-08 12:36:09.663",25,23,2263,0,0.0,18
NULL,"2025-09-08 12:42:11.557",26,33,2284,0,0.0,1
NULL,"2025-09-08 12:42:11.563",26,19,2305,0,0.0,2
NULL,"2025-09-08 12:42:11.570",26,20,2306,0,0.0,3
NULL,"2025-09-08 12:42:11.580",26,1,2284,0,0.0,4
NULL,"2025-09-08 12:42:11.590",26,18,2304,0,0.0,5
NULL,"2025-09-08 12:42:11.597",26,34,2312,0,0.0,6
NULL,"2025-09-08 12:42:11.603",26,13,2314,0,0.0,7
NULL,"2025-09-08 12:42:11.613",26,8,2307,0,0.0,8
NULL,"2025-09-08 12:42:11.620",26,3,2288,0,0.0,9
NULL,"2025-09-08 12:42:11.630",26,14,2317,0,0.0,10
NULL,"2025-09-08 12:42:11.637",26,43,2299,0,0.0,11
NULL,"2025-09-08 12:42:11.643",26,42,2300,0,0.0,12
NULL,"2025-09-08 12:42:11.650",26,41,2301,0,0.0,13
NULL,"2025-09-08 12:42:11.660",26,40,2302,0,0.0,14
NULL,"2025-09-08 12:42:11.670",26,39,2303,0,0.0,15
NULL,"2025-09-08 12:42:11.677",26,15,2293,0,0.0,16
NULL,"2025-09-08 12:42:11.683",26,16,2295,0,0.0,17
NULL,"2025-09-08 12:42:11.690",26,17,2296,0,0.0,18
NULL,"2025-09-08 12:42:11.697",26,7,2308,0,0.0,19
NULL,"2025-09-08 12:42:11.707",26,4,2282,0,0.0,20
NULL,"2025-09-08 12:42:11.713",26,21,2310,0,0.0,21
NULL,"2025-09-08 12:42:11.723",26,9,2311,0,0.0,22
NULL,"2025-09-08 12:42:11.730",26,10,2313,0,0.0,23
NULL,"2025-09-08 12:42:11.737",26,37,2315,0,0.0,24
NULL,"2025-09-08 12:42:11.743",26,35,2316,0,0.0,25
NULL,"2025-09-08 12:42:11.750",26,36,2318,0,0.0,26
NULL,"2025-09-08 12:45:11.947",27,33,2363,0,0.0,1
NULL,"2025-09-08 12:45:11.953",27,19,2359,0,0.0,2
NULL,"2025-09-08 12:45:11.960",27,20,2360,0,0.0,3
NULL,"2025-09-08 12:45:11.967",27,1,2338,0,0.0,4
NULL,"2025-09-08 12:45:11.977",27,18,2358,0,0.0,5
NULL,"2025-09-08 12:45:11.983",27,34,2366,0,0.0,6
NULL,"2025-09-08 12:45:11.993",27,13,2368,0,0.0,7
NULL,"2025-09-08 12:45:12.003",27,8,2361,0,0.0,8
NULL,"2025-09-08 12:45:12.010",27,3,2342,0,0.0,9
NULL,"2025-09-08 12:45:12.017",27,14,2371,0,0.0,10
NULL,"2025-09-08 12:45:12.027",27,43,2353,0,0.0,11
NULL,"2025-09-08 12:45:12.033",27,42,2354,0,0.0,12
NULL,"2025-09-08 12:45:12.040",27,41,2355,0,0.0,13
NULL,"2025-09-08 12:45:12.050",27,40,2356,0,0.0,14
NULL,"2025-09-08 12:45:12.060",27,39,2357,0,0.0,15
NULL,"2025-09-08 12:45:12.067",27,15,2347,0,0.0,16
NULL,"2025-09-08 12:45:12.077",27,16,2349,0,0.0,17
NULL,"2025-09-08 12:45:12.083",27,17,2350,0,0.0,18
NULL,"2025-09-08 12:45:12.093",27,7,2362,0,0.0,19
NULL,"2025-09-08 12:45:12.100",27,4,2336,0,0.0,20
NULL,"2025-09-08 12:45:12.110",27,21,2364,0,0.0,21
NULL,"2025-09-08 12:45:12.117",27,9,2365,0,0.0,22
NULL,"2025-09-08 12:45:12.123",27,10,2367,0,0.0,23
NULL,"2025-09-08 12:45:12.130",27,37,2369,0,0.0,24
NULL,"2025-09-08 12:45:12.140",27,35,2370,0,0.0,25
NULL,"2025-09-08 12:45:12.147",27,36,2372,0,0.0,26
NULL,"2025-09-08 12:47:41.367",28,33,2417,0,0.0,1
NULL,"2025-09-08 12:47:41.373",28,19,2413,0,0.0,2
NULL,"2025-09-08 12:47:41.383",28,20,2414,0,0.0,3
NULL,"2025-09-08 12:47:41.390",28,1,2392,0,0.0,4
NULL,"2025-09-08 12:47:41.397",28,18,2412,0,0.0,5
NULL,"2025-09-08 12:47:41.400",28,34,2420,0,0.0,6
NULL,"2025-09-08 12:47:41.410",28,13,2422,0,0.0,7
NULL,"2025-09-08 12:47:41.413",28,8,2415,0,0.0,8
NULL,"2025-09-08 12:47:41.420",28,3,2396,0,0.0,9
NULL,"2025-09-08 12:47:41.427",28,14,2425,0,0.0,10
NULL,"2025-09-08 12:47:41.433",28,43,2407,0,0.0,11
NULL,"2025-09-08 12:47:41.440",28,42,2408,0,0.0,12
NULL,"2025-09-08 12:47:41.447",28,41,2409,0,0.0,13
NULL,"2025-09-05 14:40:57.223",19,7,1955,0,0.0,11
NULL,"2025-09-05 14:40:57.233",19,4,1945,0,0.0,12
NULL,"2025-09-05 14:40:57.240",19,33,1956,0,0.0,13
NULL,"2025-09-05 14:40:57.250",19,43,1946,0,0.0,14
NULL,"2025-09-05 14:40:57.260",19,42,1947,0,0.0,15
NULL,"2025-09-05 14:40:57.270",19,41,1948,0,0.0,16
NULL,"2025-09-05 14:40:57.277",19,40,1949,0,0.0,17
NULL,"2025-09-05 14:40:57.283",19,39,1950,0,0.0,18
NULL,"2025-09-05 14:40:57.290",19,21,1957,0,0.0,19
NULL,"2025-09-05 14:40:57.300",19,37,1965,0,0.0,20
NULL,"2025-09-05 14:40:57.307",19,35,1963,0,0.0,21
NULL,"2025-09-05 14:40:57.317",19,36,1965,0,0.0,22
NULL,"2025-09-05 14:46:00.243",20,19,2006,0,0.0,1
NULL,"2025-09-05 14:46:00.250",20,20,2007,0,0.0,2
NULL,"2025-09-05 14:46:00.257",20,1,2001,0,0.0,3
NULL,"2025-09-05 13:17:51.337",3,20,1273,0,0.0,1
NULL,"2025-09-05 13:17:51.343",3,1,1252,0,0.0,2
NULL,"2025-09-05 13:17:51.350",3,18,1272,0,0.0,3
NULL,"2025-09-05 13:17:51.387",3,3,1263,0,0.0,4
NULL,"2025-09-05 13:17:51.393",3,15,1266,0,0.0,5
NULL,"2025-09-05 13:17:51.400",3,16,1268,0,0.0,6
NULL,"2025-09-05 13:17:51.407",3,17,1269,0,0.0,7
NULL,"2025-09-05 13:17:51.413",3,4,1271,0,0.0,8
NULL,"2025-09-05 13:17:51.423",3,21,1274,0,0.0,9
NULL,"2025-09-05 13:26:08.143",4,20,1315,0,0.0,1
NULL,"2025-09-05 13:26:08.150",4,1,1294,0,0.0,2
NULL,"2025-09-05 13:26:08.223",4,18,1314,0,0.0,3
NULL,"2025-09-05 13:26:08.230",4,13,1319,0,0.0,4
NULL,"2025-09-05 13:26:08.237",4,8,1316,0,0.0,5
NULL,"2025-09-05 13:26:08.273",4,3,1305,0,0.0,6
NULL,"2025-09-05 13:26:08.323",4,14,1321,0,0.0,7
NULL,"2025-09-05 13:26:08.330",4,15,1308,0,0.0,8
NULL,"2025-09-05 13:26:08.340",4,16,1310,0,0.0,9
NULL,"2025-09-05 13:26:08.347",4,17,1311,0,0.0,10
NULL,"2025-09-05 13:26:08.353",4,4,1292,0,0.0,11
NULL,"2025-09-05 13:26:08.380",4,21,1317,0,0.0,12
NULL,"2025-09-05 13:26:08.387",4,10,1318,0,0.0,13
NULL,"2025-09-05 14:46:00.263",20,18,2005,0,0.0,4
NULL,"2025-09-05 14:46:00.270",20,8,2008,0,0.0,5
NULL,"2025-09-05 14:46:00.280",20,3,2002,0,0.0,6
NULL,"2025-09-05 13:26:08.393",4,23,1320,0,0.0,14
NULL,"2025-09-05 13:34:26.713",5,20,1363,0,0.0,1
NULL,"2025-09-05 13:34:26.720",5,1,1341,0,0.0,2
NULL,"2025-09-05 13:34:26.727",5,18,1361,0,0.0,3
NULL,"2025-09-05 13:34:26.730",5,13,1370,0,0.0,4
NULL,"2025-09-05 13:34:26.737",5,8,1364,0,0.0,5
NULL,"2025-09-05 13:34:26.740",5,3,1352,0,0.0,6
NULL,"2025-09-05 13:34:26.747",5,14,1372,0,0.0,7
NULL,"2025-09-05 13:34:26.753",5,15,1355,0,0.0,8
NULL,"2025-09-05 13:34:26.757",5,16,1357,0,0.0,9
NULL,"2025-09-05 13:34:26.763",5,17,1358,0,0.0,10
NULL,"2025-09-05 13:34:26.770",5,4,1339,0,0.0,11
NULL,"2025-09-05 13:34:26.773",5,21,1366,0,0.0,12
NULL,"2025-09-05 13:34:26.780",5,10,1369,0,0.0,13
NULL,"2025-09-05 13:34:26.783",5,23,1371,0,0.0,14
NULL,"2025-09-05 13:34:26.790",5,7,1365,0,0.0,15
NULL,"2025-09-05 13:34:26.793",5,9,1367,0,0.0,16
NULL,"2025-09-05 13:34:26.800",5,22,1368,0,0.0,17
NULL,"2025-09-05 13:56:54.580",8,19,1413,0,0.0,1
NULL,"2025-09-05 13:56:54.590",8,20,1414,0,0.0,2
NULL,"2025-09-05 13:56:54.597",8,1,1392,0,0.0,3
NULL,"2025-09-05 13:56:54.603",8,18,1412,0,0.0,4
NULL,"2025-09-05 13:56:54.610",8,13,1421,0,0.0,5
NULL,"2025-09-05 13:56:54.617",8,23,1422,0,0.0,6
NULL,"2025-09-05 13:56:54.620",8,8,1415,0,0.0,7
NULL,"2025-09-05 13:56:54.630",8,3,1403,0,0.0,8
NULL,"2025-09-05 13:56:54.637",8,14,1423,0,0.0,9
NULL,"2025-09-05 13:56:54.643",8,15,1406,0,0.0,10
NULL,"2025-09-05 13:56:54.650",8,16,1408,0,0.0,11
NULL,"2025-09-05 13:56:54.657",8,17,1409,0,0.0,12
NULL,"2025-09-05 13:56:54.663",8,7,1416,0,0.0,13
NULL,"2025-09-05 13:56:54.670",8,4,1411,0,0.0,14
NULL,"2025-09-05 13:56:54.677",8,21,1417,0,0.0,15
NULL,"2025-09-05 13:56:54.683",8,9,1418,0,0.0,16
NULL,"2025-09-05 13:56:54.690",8,22,1419,0,0.0,17
NULL,"2025-09-05 13:56:54.697",8,10,1420,0,0.0,18
NULL,"2025-09-05 13:56:54.703",8,24,1424,0,0.0,19
NULL,"2025-09-05 13:56:54.710",8,25,1425,0,0.0,20
NULL,"2025-09-05 13:56:54.713",8,27,1426,0,0.0,21
NULL,"2025-09-05 13:56:54.720",8,26,1427,0,0.0,22
NULL,"2025-09-05 13:56:54.727",8,28,1428,0,0.0,23
NULL,"2025-09-05 13:56:54.733",8,29,1429,0,0.0,24
NULL,"2025-09-05 13:56:54.740",8,30,1430,0,0.0,25
NULL,"2025-09-05 13:56:54.743",8,31,1431,0,0.0,26
NULL,"2025-09-05 13:56:54.750",8,32,1432,0,0.0,27
NULL,"2025-09-05 14:19:38.240",14,27,1709,0,0.0,21
NULL,"2025-09-05 14:19:38.247",14,26,1710,0,0.0,22
NULL,"2025-09-05 14:19:38.257",14,28,1711,0,0.0,23
NULL,"2025-09-05 14:19:38.263",14,29,1712,0,0.0,24
NULL,"2025-09-05 14:19:38.270",14,30,1713,0,0.0,25
NULL,"2025-09-05 14:19:38.277",14,31,1714,0,0.0,26
NULL,"2025-09-05 14:19:38.283",14,32,1715,0,0.0,27
NULL,"2025-09-05 14:46:00.287",20,14,2018,0,0.0,7
NULL,"2025-09-05 14:46:00.293",20,15,1994,0,0.0,8
NULL,"2025-09-05 14:46:00.300",20,16,1996,0,0.0,9
NULL,"2025-09-05 14:46:00.307",20,17,1997,0,0.0,10
NULL,"2025-09-05 14:46:00.313",20,7,2009,0,0.0,11
NULL,"2025-09-05 14:46:00.323",20,4,1999,0,0.0,12
NULL,"2025-09-05 14:46:00.330",20,33,2010,0,0.0,13
NULL,"2025-09-05 14:46:00.340",20,43,2000,0,0.0,14
NULL,"2025-09-05 14:46:00.350",20,42,2001,0,0.0,15
NULL,"2025-09-05 14:46:00.357",20,41,2002,0,0.0,16
NULL,"2025-09-05 14:46:00.367",20,40,2003,0,0.0,17
NULL,"2025-09-05 14:46:00.373",20,39,2004,0,0.0,18
NULL,"2025-09-05 14:46:00.383",20,21,2011,0,0.0,19
NULL,"2025-09-05 14:46:00.390",20,37,2019,0,0.0,20
NULL,"2025-09-05 14:46:00.400",20,35,2017,0,0.0,21
NULL,"2025-09-05 14:46:00.407",20,36,2019,0,0.0,22
NULL,"2025-09-08 12:47:41.453",28,40,2410,0,0.0,14
NULL,"2025-09-08 12:47:41.460",28,39,2411,0,0.0,15
NULL,"2025-09-05 14:02:38.987",9,19,1490,0,0.0,1
NULL,"2025-09-05 14:02:38.997",9,20,1491,0,0.0,2
NULL,"2025-09-05 14:02:39.010",9,1,1469,0,0.0,3
NULL,"2025-09-05 14:02:39.020",9,18,1489,0,0.0,4
NULL,"2025-09-05 14:02:39.030",9,13,1498,0,0.0,5
NULL,"2025-09-05 14:02:39.043",9,23,1499,0,0.0,6
NULL,"2025-09-05 14:02:39.057",9,8,1492,0,0.0,7
NULL,"2025-09-05 14:02:39.070",9,3,1480,0,0.0,8
NULL,"2025-09-05 14:02:39.087",9,14,1500,0,0.0,9
NULL,"2025-09-05 14:02:39.107",9,15,1483,0,0.0,10
NULL,"2025-09-05 14:02:39.120",9,16,1485,0,0.0,11
NULL,"2025-09-05 14:02:39.140",9,17,1486,0,0.0,12
NULL,"2025-09-05 14:02:39.157",9,7,1493,0,0.0,13
NULL,"2025-09-05 14:02:39.170",9,4,1488,0,0.0,14
NULL,"2025-09-05 14:02:39.187",9,21,1494,0,0.0,15
NULL,"2025-09-05 14:02:39.210",9,9,1495,0,0.0,16
NULL,"2025-09-05 14:02:39.227",9,22,1496,0,0.0,17
NULL,"2025-09-05 14:02:39.237",9,10,1497,0,0.0,18
NULL,"2025-09-05 14:02:39.257",9,24,1502,0,0.0,19
NULL,"2025-09-05 14:02:39.267",9,25,1504,0,0.0,20
NULL,"2025-09-05 14:02:39.287",9,27,1506,0,0.0,21
NULL,"2025-09-05 14:02:39.310",9,26,1508,0,0.0,22
NULL,"2025-09-05 14:02:39.333",9,28,1510,0,0.0,23
NULL,"2025-09-05 14:02:39.350",9,29,1512,0,0.0,24
NULL,"2025-09-05 14:02:39.373",9,30,1514,0,0.0,25
NULL,"2025-09-05 14:02:39.390",9,31,1516,0,0.0,26
NULL,"2025-09-05 14:02:39.410",9,32,1518,0,0.0,27
NULL,"2025-09-05 14:05:55.343",10,24,1501,0,0.0,1
NULL,"2025-09-05 14:05:55.350",10,25,1503,0,0.0,2
NULL,"2025-09-05 14:05:55.357",10,27,1505,0,0.0,3
NULL,"2025-09-05 14:05:55.363",10,26,1507,0,0.0,4
NULL,"2025-09-05 14:05:55.370",10,28,1509,0,0.0,5
NULL,"2025-09-05 14:05:55.377",10,29,1511,0,0.0,6
NULL,"2025-09-05 14:05:55.383",10,30,1513,0,0.0,7
NULL,"2025-09-05 14:05:55.390",10,31,1515,0,0.0,8
NULL,"2025-09-05 14:05:55.400",10,32,1517,0,0.0,9
NULL,"2025-09-05 14:10:11.940",11,19,1576,0,0.0,1
NULL,"2025-09-05 14:10:11.947",11,20,1577,0,0.0,2
NULL,"2025-09-05 14:10:11.953",11,1,1555,0,0.0,3
NULL,"2025-09-05 14:10:11.960",11,18,1575,0,0.0,4
NULL,"2025-09-05 14:10:11.970",11,13,1584,0,0.0,5
NULL,"2025-09-05 14:10:11.977",11,23,1585,0,0.0,6
NULL,"2025-09-05 14:10:11.983",11,8,1578,0,0.0,7
NULL,"2025-09-05 14:10:11.990",11,3,1566,0,0.0,8
NULL,"2025-09-05 14:10:11.997",11,14,1586,0,0.0,9
NULL,"2025-09-05 14:10:12.003",11,15,1569,0,0.0,10
NULL,"2025-09-05 14:10:12.010",11,16,1571,0,0.0,11
NULL,"2025-09-05 14:10:12.020",11,17,1572,0,0.0,12
NULL,"2025-09-05 14:10:12.027",11,7,1579,0,0.0,13
NULL,"2025-09-05 14:10:12.033",11,4,1574,0,0.0,14
NULL,"2025-09-05 14:10:12.040",11,21,1580,0,0.0,15
NULL,"2025-09-05 14:10:12.050",11,9,1581,0,0.0,16
NULL,"2025-09-05 14:10:12.057",11,22,1582,0,0.0,17
NULL,"2025-09-05 14:10:12.060",11,10,1583,0,0.0,18
NULL,"2025-09-05 14:10:12.070",11,24,1588,0,0.0,19
NULL,"2025-09-05 14:10:12.073",11,25,1590,0,0.0,20
NULL,"2025-09-05 14:10:12.080",11,27,1592,0,0.0,21
NULL,"2025-09-05 14:10:12.090",11,26,1594,0,0.0,22
NULL,"2025-09-05 14:10:12.097",11,28,1596,0,0.0,23
NULL,"2025-09-05 14:10:12.103",11,29,1598,0,0.0,24
NULL,"2025-09-05 14:10:12.110",11,30,1600,0,0.0,25
NULL,"2025-09-05 14:10:12.117",11,31,1602,0,0.0,26
NULL,"2025-09-05 14:10:12.123",11,32,1604,0,0.0,27
NULL,"2025-09-05 14:12:40.797",12,24,1587,0,0.0,1
NULL,"2025-09-05 14:12:40.803",12,25,1589,0,0.0,2
NULL,"2025-09-05 14:12:40.810",12,27,1591,0,0.0,3
NULL,"2025-09-05 14:12:40.817",12,26,1593,0,0.0,4
NULL,"2025-09-05 14:12:40.823",12,28,1595,0,0.0,5
NULL,"2025-09-05 14:12:40.830",12,29,1597,0,0.0,6
NULL,"2025-09-05 14:12:40.837",12,30,1599,0,0.0,7
NULL,"2025-09-05 14:12:40.847",12,31,1601,0,0.0,8
NULL,"2025-09-05 14:12:40.853",12,32,1603,0,0.0,9
NULL,"2025-09-05 14:16:24.530",13,19,1645,0,0.0,1
NULL,"2025-09-05 14:16:24.537",13,20,1646,0,0.0,2
NULL,"2025-09-05 14:16:24.547",13,1,1624,0,0.0,3
NULL,"2025-09-05 14:16:24.557",13,18,1644,0,0.0,4
NULL,"2025-09-05 14:16:24.563",13,13,1653,0,0.0,5
NULL,"2025-09-05 14:16:24.570",13,23,1654,0,0.0,6
NULL,"2025-09-05 14:16:24.577",13,8,1647,0,0.0,7
NULL,"2025-09-05 14:16:24.587",13,3,1635,0,0.0,8
NULL,"2025-09-05 14:16:24.593",13,14,1655,0,0.0,9
NULL,"2025-09-05 14:16:24.603",13,15,1638,0,0.0,10
NULL,"2025-09-05 14:16:24.653",13,16,1640,0,0.0,11
NULL,"2025-09-05 14:16:24.663",13,17,1641,0,0.0,12
NULL,"2025-09-05 14:16:24.670",13,7,1648,0,0.0,13
NULL,"2025-09-05 14:16:24.680",13,4,1643,0,0.0,14
NULL,"2025-09-05 14:16:24.687",13,21,1649,0,0.0,15
NULL,"2025-09-05 14:16:24.693",13,9,1650,0,0.0,16
NULL,"2025-09-05 14:16:24.700",13,22,1651,0,0.0,17
NULL,"2025-09-05 14:16:24.710",13,10,1652,0,0.0,18
NULL,"2025-09-05 14:19:38.060",14,19,1696,0,0.0,1
NULL,"2025-09-05 14:19:38.070",14,20,1697,0,0.0,2
NULL,"2025-09-05 14:19:38.083",14,1,1675,0,0.0,3
NULL,"2025-09-05 14:19:38.090",14,18,1695,0,0.0,4
NULL,"2025-09-05 14:19:38.127",14,13,1704,0,0.0,5
NULL,"2025-09-05 14:19:38.133",14,23,1705,0,0.0,6
NULL,"2025-09-05 14:19:38.140",14,8,1698,0,0.0,7
NULL,"2025-09-05 14:19:38.147",14,3,1686,0,0.0,8
NULL,"2025-09-05 14:19:38.153",14,14,1706,0,0.0,9
NULL,"2025-09-05 14:19:38.160",14,15,1689,0,0.0,10
NULL,"2025-09-05 14:19:38.167",14,16,1691,0,0.0,11
NULL,"2025-09-05 14:19:38.177",14,17,1692,0,0.0,12
NULL,"2025-09-05 14:19:38.180",14,7,1699,0,0.0,13
NULL,"2025-09-05 14:19:38.190",14,4,1694,0,0.0,14
NULL,"2025-09-05 14:19:38.197",14,21,1700,0,0.0,15
NULL,"2025-09-05 14:19:38.203",14,9,1701,0,0.0,16
NULL,"2025-09-05 14:19:38.210",14,22,1702,0,0.0,17
NULL,"2025-09-05 14:19:38.220",14,10,1703,0,0.0,18
NULL,"2025-09-05 14:19:38.227",14,24,1707,0,0.0,19
NULL,"2025-09-05 14:19:38.233",14,25,1708,0,0.0,20
NULL,"2025-09-05 14:23:11.213",15,19,1773,0,0.0,1
NULL,"2025-09-05 14:23:11.223",15,20,1774,0,0.0,2
NULL,"2025-09-05 14:23:11.233",15,1,1752,0,0.0,3
NULL,"2025-09-05 14:23:11.243",15,18,1772,0,0.0,4
NULL,"2025-09-05 14:23:11.250",15,13,1781,0,0.0,5
NULL,"2025-09-05 14:23:11.257",15,23,1782,0,0.0,6
NULL,"2025-09-05 14:23:11.260",15,8,1775,0,0.0,7
NULL,"2025-09-05 14:23:11.270",15,3,1763,0,0.0,8
NULL,"2025-09-05 14:23:11.277",15,14,1783,0,0.0,9
NULL,"2025-09-05 14:23:11.280",15,15,1766,0,0.0,10
NULL,"2025-09-05 14:23:11.290",15,16,1768,0,0.0,11
NULL,"2025-09-05 14:23:11.297",15,17,1769,0,0.0,12
NULL,"2025-09-05 14:23:11.303",15,7,1776,0,0.0,13
NULL,"2025-09-05 14:23:11.310",15,4,1750,0,0.0,14
NULL,"2025-09-05 14:23:11.320",15,21,1777,0,0.0,15
NULL,"2025-09-05 14:23:11.327",15,9,1778,0,0.0,16
NULL,"2025-09-05 14:23:11.333",15,22,1779,0,0.0,17
NULL,"2025-09-05 14:23:11.343",15,10,1780,0,0.0,18
NULL,"2025-09-05 14:23:11.350",15,24,1785,0,0.0,19
NULL,"2025-09-05 14:23:11.360",15,25,1787,0,0.0,20
NULL,"2025-09-05 14:23:11.367",15,27,1789,0,0.0,21
NULL,"2025-09-05 14:23:11.373",15,26,1791,0,0.0,22
NULL,"2025-09-05 14:23:11.380",15,28,1793,0,0.0,23
NULL,"2025-09-05 14:23:11.390",15,29,1795,0,0.0,24
NULL,"2025-09-05 14:23:11.400",15,30,1797,0,0.0,25
NULL,"2025-09-05 14:23:11.407",15,31,1799,0,0.0,26
NULL,"2025-09-05 14:23:11.413",15,32,1801,0,0.0,27
NULL,"2025-09-05 14:24:55.087",16,24,1784,0,0.0,1
NULL,"2025-09-05 14:24:55.097",16,25,1786,0,0.0,2
NULL,"2025-09-05 14:24:55.107",16,27,1788,0,0.0,3
NULL,"2025-09-05 14:24:55.120",16,26,1790,0,0.0,4
NULL,"2025-09-05 14:24:55.127",16,28,1792,0,0.0,5
NULL,"2025-09-05 14:24:55.133",16,29,1794,0,0.0,6
NULL,"2025-09-05 14:24:55.157",16,30,1796,0,0.0,7
NULL,"2025-09-05 14:24:55.170",16,31,1798,0,0.0,8
NULL,"2025-09-05 14:24:55.177",16,32,1800,0,0.0,9
NULL,"2025-09-05 14:33:36.947",17,19,1842,0,0.0,1
NULL,"2025-09-05 14:33:36.957",17,20,1843,0,0.0,2
NULL,"2025-09-05 14:33:36.963",17,1,1821,0,0.0,3
NULL,"2025-09-05 14:33:36.970",17,18,1841,0,0.0,4
NULL,"2025-09-05 14:33:36.977",17,8,1844,0,0.0,5
NULL,"2025-09-05 14:33:36.983",17,3,1838,0,0.0,6
NULL,"2025-09-05 14:33:36.990",17,14,1855,0,0.0,7
NULL,"2025-09-05 14:33:37.000",17,15,1830,0,0.0,8
NULL,"2025-09-05 14:33:37.007",17,16,1832,0,0.0,9
NULL,"2025-09-05 14:33:37.013",17,17,1839,0,0.0,10
NULL,"2025-09-05 14:33:37.020",17,7,1846,0,0.0,11
NULL,"2025-09-05 14:33:37.027",17,4,1840,0,0.0,12
NULL,"2025-09-08 12:47:41.463",28,15,2401,0,0.0,16
NULL,"2025-09-08 12:47:41.470",28,16,2403,0,0.0,17
NULL,"2025-09-08 12:47:41.477",28,17,2404,0,0.0,18
NULL,"2025-09-08 12:47:41.483",28,7,2416,0,0.0,19
NULL,"2025-09-08 12:47:41.490",28,4,2390,0,0.0,20
NULL,"2025-09-08 12:47:41.497",28,21,2418,0,0.0,21
NULL,"2025-09-08 12:47:41.503",28,9,2419,0,0.0,22
NULL,"2025-09-08 12:47:41.510",28,10,2421,0,0.0,23
NULL,"2025-09-08 12:47:41.513",28,37,2423,0,0.0,24
NULL,"2025-09-08 12:47:41.520",28,35,2424,0,0.0,25
NULL,"2025-09-08 12:47:41.527",28,36,2426,0,0.0,26
NULL,"2025-09-08 12:50:05.510",29,33,2471,0,0.0,1
NULL,"2025-09-08 12:50:05.520",29,19,2467,0,0.0,2
NULL,"2025-09-08 12:50:05.530",29,20,2468,0,0.0,3
NULL,"2025-09-08 12:50:05.543",29,1,2446,0,0.0,4
NULL,"2025-09-08 12:50:05.553",29,18,2466,0,0.0,5
NULL,"2025-09-08 12:50:05.567",29,34,2474,0,0.0,6
