AUDITUSER,AUDITTIMESTAMP,VARID,ACTION,CHANGED_FIELD,OLDVALUE,NEWVALUE
KILPATRICKA,"2025-07-30 11:41:13.870",26,2,VARNUM,27,2
KILPATRICKA,"2025-07-30 11:41:34.483",28,2,VARNUM,29,2145
KILPATRICKA,"2025-07-30 11:41:52.480",29,2,VARNUM,30,2146
KILPATRICKA,"2025-07-30 11:42:31.930",30,2,VARNUM,31,2147
KILPATRICKA,"2025-07-30 11:42:44.663",31,2,VARNUM,32,2155
KILPATRICKA,"2025-07-30 11:42:57.367",32,2,VARNUM,33,2165
KILPATRICKA,"2025-07-30 11:45:39.217",76,2,VARNUM,75,3100
KILPATRICKA,"2025-07-30 11:46:26.480",78,2,VARNUM,76,3130
KILPATRICKA,"2025-07-30 11:47:19.097",79,2,VARNUM,77,3131
KILPATRICKA,"2025-07-30 11:48:12.730",80,2,VARNUM,78,3140
KILPATRICKA,"2025-07-30 11:49:08.110",81,2,VARNUM,79,3630
KILPATRICKA,"2025-07-30 12:28:51.643",82,2,VARNUM,80,3631
KILPATRICKA,"2025-07-30 12:30:10.290",83,2,VARNUM,81,3610
KILPATRICKA,"2025-07-30 12:32:55.253",89,2,VARNUM,86,3132
KILPATRICKA,"2025-07-30 12:36:22.320",92,2,VARNUM,88,3141
KILPATRICKA,"2025-07-30 12:38:10.480",93,2,VARNUM,89,3142
KILPATRICKA,"2025-07-30 12:39:31.943",94,2,VARNUM,90,3600
KILPATRICKA,"2025-07-30 12:41:16.103",95,2,VARNUM,91,3632
KILPATRICKA,"2025-07-30 12:42:33.780",96,2,VARNUM,92,3611
KILPATRICKA,"2025-07-30 12:47:58.523",97,2,VARNUM,93,3612
KILPATRICKA,"2025-07-30 12:48:56.683",197,2,VARNUM,10006,3635
KILPATRICKA,"2025-07-30 12:49:25.760",198,2,VARNUM,10007,3636
KILPATRICKA,"2025-07-30 12:49:46.060",199,2,VARNUM,10008,3634
KILPATRICKA,"2025-07-30 12:50:07.313",201,2,VARNUM,10010,2127
KILPATRICKA,"2025-07-30 12:51:09.700",202,2,VARNUM,10011,2128
KILPATRICKA,"2025-07-30 12:51:40.977",203,2,VARNUM,10012,2126
KILPATRICKA,"2025-07-30 12:55:53.243",204,2,VARNUM,10013,3615
KILPATRICKA,"2025-07-30 12:56:45.843",205,2,VARNUM,10014,3616
KILPATRICKA,"2025-07-30 12:57:02.447",206,2,VARNUM,10015,3614
KILPATRICKA,"2025-07-30 12:58:00.977",213,2,VARNUM,10022,2169
KILPATRICKA,"2025-07-30 12:58:41.060",214,2,VARNUM,10023,2170
KILPATRICKA,"2025-07-30 12:59:55.267",254,2,VARNUM,10057,4601
KILPATRICKA,"2025-07-30 13:00:21.847",215,2,VARNUM,10024,2168
KILPATRICKA,"2025-07-30 13:01:04.277",216,2,VARNUM,10025,2159
KILPATRICKA,"2025-07-30 13:05:29.853",217,2,VARNUM,10026,2160
KILPATRICKA,"2025-07-30 13:06:22.307",218,2,VARNUM,10027,2158
KILPATRICKA,"2025-07-30 13:07:15.770",222,2,VARNUM,10031,4152
KILPATRICKA,"2025-07-30 13:07:53.583",235,2,VARNUM,10039,4125
KILPATRICKA,"2025-07-30 13:09:27.413",236,2,VARNUM,10040,4126
KILPATRICKA,"2025-07-30 13:10:08.250",237,2,VARNUM,10041,4127
KILPATRICKA,"2025-07-30 13:10:47.137",238,2,VARNUM,10042,4128
KILPATRICKA,"2025-07-30 13:11:34.337",242,2,VARNUM,10046,4129
KILPATRICKA,"2025-07-30 13:12:14.170",243,2,VARNUM,10047,4153
KILPATRICKA,"2025-07-30 13:12:52.333",250,2,VARNUM,10053,4154
KILPATRICKA,"2025-07-30 13:13:37.850",253,2,VARNUM,10056,4600
KILPATRICKA,"2025-07-30 13:15:22.843",186,2,VARNUM,170,3112
KILPATRICKA,"2025-07-30 13:16:18.967",184,2,VARNUM,168,3122
KILPATRICKA,"2025-07-30 13:16:57.240",183,2,VARNUM,167,2167
KILPATRICKA,"2025-07-30 13:17:23.800",182,2,VARNUM,166,2157
KILPATRICKA,"2025-07-30 13:17:53.463",181,2,VARNUM,165,2111
KILPATRICKA,"2025-07-30 13:18:23.987",158,2,VARNUM,147,2156
KILPATRICKA,"2025-07-30 13:18:49.857",177,2,VARNUM,162,2125
KILPATRICKA,"2025-07-30 13:19:27.020",170,2,VARNUM,158,2050
KILPATRICKA,"2025-07-30 13:19:46.037",174,2,VARNUM,159,2124
KILPATRICKA,"2025-07-30 13:20:09.553",180,2,VARNUM,164,2110
KILPATRICKA,"2025-07-30 13:20:25.720",175,2,VARNUM,160,2000
KILPATRICKA,"2025-07-30 13:20:46.640",179,2,VARNUM,163,2102
KILPATRICKA,"2025-07-30 13:21:16.640",162,2,VARNUM,151,3613
KILPATRICKA,"2025-07-30 13:22:19.133",161,2,VARNUM,150,3633
KILPATRICKA,"2025-07-30 13:24:00.107",160,2,VARNUM,149,2123
KILPATRICKA,"2025-07-30 13:24:36.160",159,2,VARNUM,148,2148
KILPATRICKA,"2025-07-30 13:25:11.110",157,2,VARNUM,146,2166
KILPATRICKA,"2025-07-30 13:26:08.580",155,2,VARNUM,144,3133
KILPATRICKA,"2025-07-30 13:27:19.663",156,2,VARNUM,145,3111
KILPATRICKA,"2025-07-30 13:29:51.000",145,2,VARNUM,134,3143
KILPATRICKA,"2025-07-30 13:32:45.260",144,2,VARNUM,133,3121
KILPATRICKA,"2025-07-30 13:33:49.733",143,2,VARNUM,132,3120
KILPATRICKA,"2025-07-30 13:35:07.097",142,2,VARNUM,131,3110
KILPATRICKA,"2025-07-30 13:39:06.493",133,2,VARNUM,122,4151
KILPATRICKA,"2025-07-30 13:40:45.067",132,2,VARNUM,121,4150
KILPATRICKA,"2025-07-30 13:41:39.970",240,2,VARNUM,10044,150020
KILPATRICKA,"2025-07-30 13:45:08.503",166,2,VARNUM,155,163
KILPATRICKA,"2025-07-30 13:45:27.110",187,2,VARNUM,171,165
KILPATRICKA,"2025-07-30 13:45:37.350",188,2,VARNUM,172,215
KILPATRICKA,"2025-07-30 13:45:47.497",194,2,VARNUM,174,217
KILPATRICKA,"2025-07-30 13:45:58.307",189,2,VARNUM,173,216
KILPATRICKA,"2025-07-30 13:46:37.600",176,2,VARNUM,161,164
KILPATRICKA,"2025-07-30 13:47:25.373",168,2,VARNUM,157,197
KILPATRICKA,"2025-07-30 13:47:37.467",167,2,VARNUM,156,226
CASSADYTL,"2025-02-21 10:43:58.140",245,2,VARNUM,10061,10049
KILPATRICKA,"2025-07-30 13:48:20.277",154,2,VARNUM,143,188
KILPATRICKA,"2025-07-30 13:48:53.503",152,2,VARNUM,141,123
KILPATRICKA,"2025-07-30 13:49:12.127",149,2,VARNUM,138,93
KILPATRICKA,"2025-07-30 13:49:32.517",150,2,VARNUM,139,103
KILPATRICKA,"2025-07-30 13:49:50.660",151,2,VARNUM,140,113
KILPATRICKA,"2025-07-30 13:50:29.070",164,2,VARNUM,153,133
KILPATRICKA,"2025-07-30 13:50:44.670",165,2,VARNUM,154,143
KILPATRICKA,"2025-07-30 13:50:54.160",153,2,VARNUM,142,153
KILPATRICKA,"2025-07-30 13:51:33.277",226,2,VARNUM,10034,150015
KILPATRICKA,"2025-07-30 13:52:24.173",228,2,VARNUM,10036,150016
KILPATRICKA,"2025-07-30 13:52:38.057",229,2,VARNUM,10037,150017
KILPATRICKA,"2025-07-30 13:52:49.640",230,2,VARNUM,10038,150018
KILPATRICKA,"2025-07-30 13:53:06.560",239,2,VARNUM,10043,150019
KILPATRICKA,"2025-07-30 13:53:17.410",241,2,VARNUM,10045,150021
KILPATRICKA,"2025-07-30 13:53:27.633",244,2,VARNUM,10048,150022
KILPATRICKA,"2025-07-30 13:53:54.430",245,2,VARNUM,10049,150023
KILPATRICKA,"2025-07-30 13:54:20.660",246,2,VARNUM,10050,150024
KILPATRICKA,"2025-07-30 13:54:39.887",247,2,VARNUM,10051,150025
KILPATRICKA,"2025-07-30 13:54:53.947",248,2,VARNUM,10052,150026
KILPATRICKA,"2025-07-30 13:57:13.800",223,2,VARNUM,10032,267
KILPATRICKA,"2025-07-30 13:57:33.857",220,2,VARNUM,10029,257
KILPATRICKA,"2025-07-30 13:57:49.153",227,2,VARNUM,10035,258
KILPATRICKA,"2025-07-30 13:58:05.993",221,2,VARNUM,10030,247
KILPATRICKA,"2025-07-30 13:58:21.110",219,2,VARNUM,10028,227
KILPATRICKA,"2025-07-30 13:58:35.650",225,2,VARNUM,10033,218
KILPATRICKA,"2025-07-30 13:58:44.177",251,2,VARNUM,10054,219
KILPATRICKA,"2025-07-30 13:59:12.977",210,2,VARNUM,10019,167
KILPATRICKA,"2025-07-30 13:59:28.850",211,2,VARNUM,10020,168
KILPATRICKA,"2025-07-30 13:59:42.433",212,2,VARNUM,10021,166
KILPATRICKA,"2025-07-30 14:00:00.977",196,2,VARNUM,10005,157
KILPATRICKA,"2025-07-30 14:00:19.037",195,2,VARNUM,10004,156
KILPATRICKA,"2025-07-30 14:00:32.023",255,2,VARNUM,10058,155
KILPATRICKA,"2025-07-30 14:00:48.270",200,2,VARNUM,10009,154
KILPATRICKA,"2025-07-30 14:01:37.477",36,2,VARNUM,37,275
KILPATRICKA,"2025-07-30 14:01:49.267",37,2,VARNUM,38,276
KILPATRICKA,"2025-07-30 14:02:04.717",38,2,VARNUM,39,277
KILPATRICKA,"2025-07-30 14:02:22.813",130,2,VARNUM,119,265
KILPATRICKA,"2025-07-30 14:02:34.810",131,2,VARNUM,120,266
KILPATRICKA,"2025-07-30 14:02:47.967",125,2,VARNUM,116,256
KILPATRICKA,"2025-07-30 14:02:57.877",124,2,VARNUM,115,255
KILPATRICKA,"2025-07-30 14:03:12.833",129,2,VARNUM,118,246
KILPATRICKA,"2025-07-30 14:03:29.453",128,2,VARNUM,117,245
KILPATRICKA,"2025-07-30 14:03:50.793",138,2,VARNUM,127,235
KILPATRICKA,"2025-07-30 14:04:04.147",137,2,VARNUM,126,225
KILPATRICKA,"2025-07-30 14:04:36.273",107,2,VARNUM,102,196
KILPATRICKA,"2025-07-30 14:04:46.367",106,2,VARNUM,101,195
KILPATRICKA,"2025-07-30 14:05:05.803",111,2,VARNUM,106,187
KILPATRICKA,"2025-07-30 14:05:16.113",110,2,VARNUM,105,186
KILPATRICKA,"2025-07-30 14:05:28.943",90,2,VARNUM,87,185
KILPATRICKA,"2025-07-30 14:05:52.560",71,2,VARNUM,72,162
KILPATRICKA,"2025-07-30 14:06:01.867",70,2,VARNUM,71,161
KILPATRICKA,"2025-07-30 14:06:16.597",69,2,VARNUM,70,160
KILPATRICKA,"2025-07-30 14:07:57.000",72,2,VARNUM,73,3
KILPATRICKA,"2025-07-30 14:09:24.257",42,2,VARNUM,43,70
KILPATRICKA,"2025-07-30 14:09:50.823",43,2,VARNUM,44,71
KILPATRICKA,"2025-07-30 14:10:02.257",44,2,VARNUM,45,72
KILPATRICKA,"2025-07-30 14:10:37.980",147,2,VARNUM,136,73
KILPATRICKA,"2025-07-30 14:11:05.730",73,2,VARNUM,74,4
KILPATRICKA,"2025-07-30 14:11:36.303",48,2,VARNUM,49,90
KILPATRICKA,"2025-07-30 14:11:47.203",49,2,VARNUM,50,91
KILPATRICKA,"2025-07-30 14:12:03.857",50,2,VARNUM,51,92
KILPATRICKA,"2025-07-30 14:12:27.313",51,2,VARNUM,52,100
KILPATRICKA,"2025-07-30 14:12:40.983",52,2,VARNUM,53,101
KILPATRICKA,"2025-07-30 14:12:51.190",53,2,VARNUM,54,102
KILPATRICKA,"2025-07-30 14:13:21.433",54,2,VARNUM,55,110
KILPATRICKA,"2025-07-30 14:13:30.540",55,2,VARNUM,56,111
KILPATRICKA,"2025-07-30 14:13:43.580",56,2,VARNUM,57,112
KILPATRICKA,"2025-07-30 14:14:00.973",57,2,VARNUM,58,120
KILPATRICKA,"2025-07-30 14:14:11.470",58,2,VARNUM,59,121
KILPATRICKA,"2025-07-30 14:14:33.187",59,2,VARNUM,60,122
KILPATRICKA,"2025-07-30 14:14:54.967",60,2,VARNUM,61,130
KILPATRICKA,"2025-07-30 14:15:03.940",61,2,VARNUM,62,131
KILPATRICKA,"2025-07-30 14:15:12.500",62,2,VARNUM,63,132
KILPATRICKA,"2025-07-30 14:15:26.873",63,2,VARNUM,64,140
KILPATRICKA,"2025-07-30 14:15:38.037",64,2,VARNUM,65,141
KILPATRICKA,"2025-07-30 14:15:49.053",65,2,VARNUM,66,142
KILPATRICKA,"2025-07-30 14:16:08.413",66,2,VARNUM,67,150
KILPATRICKA,"2025-07-30 14:16:20.910",67,2,VARNUM,68,151
KILPATRICKA,"2025-07-30 14:17:13.153",45,2,VARNUM,46,80
KILPATRICKA,"2025-07-30 14:17:22.527",46,2,VARNUM,47,81
KILPATRICKA,"2025-07-30 14:17:35.907",47,2,VARNUM,48,82
KILPATRICKA,"2025-07-30 14:17:47.197",148,2,VARNUM,137,83
KILPATRICKA,"2025-07-30 14:18:24.247",207,2,VARNUM,10016,64
KILPATRICKA,"2025-07-30 14:18:40.600",207,2,VARNUM,64,65
KILPATRICKA,"2025-07-30 14:18:58.277",208,2,VARNUM,10017,66
KILPATRICKA,"2025-07-30 14:19:10.997",209,2,VARNUM,10018,64
KILPATRICKA,"2025-07-30 14:19:26.947",146,2,VARNUM,135,63
KILPATRICKA,"2025-07-30 14:19:41.317",41,2,VARNUM,42,62
KILPATRICKA,"2025-07-30 14:20:03.943",40,2,VARNUM,41,61
KILPATRICKA,"2025-07-30 14:20:15.620",39,2,VARNUM,40,60
KILPATRICKA,"2025-07-30 14:20:35.300",33,2,VARNUM,34,50
KILPATRICKA,"2025-07-30 14:20:45.193",34,2,VARNUM,35,51
KILPATRICKA,"2025-07-30 14:20:58.200",35,2,VARNUM,36,52
KILPATRICKA,"2025-07-30 14:21:08.463",163,2,VARNUM,152,53
KILPATRICKA,"2025-07-30 14:21:30.657",68,2,VARNUM,69,152
