AUDITUSER,AUDITTIMESTAMP,SAMPLEID,SAMPLEDEFID,TESTID,SCHEDULEID,VARID,LABID,DATECOLLECTIONDUE,DATECOMPLETE,RECTYPE,SCHEDULETYPE,MAXHOLDTIME,ANALYZEDBY,NOTES,METHODID,RECORDER,DATESTART,VOLANALYZED,STARTANALYSTID,BATCHID,BATCHORDER,BATCHRECTYPE,BATCHQCFORMULA,BATCHQCRESULT,BATCHQCUNITS,PREPBATCHID,PREPBATCHORDER,STID,BATCHQCVARID,BATCHQCTEXTRESULT,CALCULATORTYPE,CALCINPUT1,CALCINPUT2,CALCINPUT3,CALCINPUT4,CALCINPUT5,CALCINPUT6,INPUTRL,INPUTMDL,MDL,RL,CALCINPUT7
NULL,"2025-08-27 12:03:57.887",2,2,1,3,1201,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:57.920",3,2,1,3,1201,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:57.950",4,2,1,3,1201,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.057",1,2,18,4,1221,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.117",2,2,18,4,1221,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.147",3,2,18,4,1221,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.180",4,2,18,4,1221,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.283",1,2,13,5,1231,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-09-05 13:30:51.003",14,5,8,49,1364,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-09-05 13:30:51.013",15,5,8,49,1364,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-09-05 13:30:51.047",12,5,3,50,1352,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.507",1,2,12,6,1230,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.550",2,2,12,6,1230,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.580",3,2,12,6,1230,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.610",4,2,12,6,1230,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.710",1,2,8,7,1224,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.750",2,2,8,7,1224,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.780",3,2,8,7,1224,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.813",4,2,8,7,1224,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.923",1,2,3,8,1212,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.957",2,2,3,8,1212,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:58.990",3,2,3,8,1212,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.030",4,2,3,8,1212,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.590",1,2,14,9,1232,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.637",2,2,14,9,1232,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.670",3,2,14,9,1232,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.720",4,2,14,9,1232,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.870",1,2,15,10,1215,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.910",2,2,15,10,1215,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.947",3,2,15,10,1215,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:03:59.980",4,2,15,10,1215,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.103",1,2,16,11,1217,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.143",2,2,16,11,1217,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.183",3,2,16,11,1217,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.217",4,2,16,11,1217,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.330",1,2,17,12,1218,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.370",2,2,17,12,1218,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.407",3,2,17,12,1218,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.437",4,2,17,12,1218,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.533",1,2,7,13,1225,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.573",2,2,7,13,1225,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.613",3,2,7,13,1225,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.653",4,2,7,13,1225,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.767",1,2,4,14,1199,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.803",2,2,4,14,1199,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.847",3,2,4,14,1199,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.890",4,2,4,14,1199,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:00.993",1,2,21,15,1226,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.037",2,2,21,15,1226,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.077",3,2,21,15,1226,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.110",4,2,21,15,1226,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.227",1,2,9,16,1227,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.263",2,2,9,16,1227,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.300",3,2,9,16,1227,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.340",4,2,9,16,1227,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.453",1,2,22,17,1228,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.497",2,2,22,17,1228,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.537",3,2,22,17,1228,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.580",4,2,22,17,1228,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.710",1,2,10,18,1229,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.743",2,2,10,18,1229,0,"2025-12-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.777",3,2,10,18,1229,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 12:04:01.817",4,2,10,18,1229,0,"2026-06-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-09-08 12:32:56.563",80,24,24,430,2196,0,"2025-09-01 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-09-08 12:32:56.730",81,24,24,430,2196,0,"2026-03-02 00:00:00.000",NULL,0,Regular,NULL,0,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
